tweet,polarity_score,label
"['rocky', 'gerung', 'anies', 'baswedan', 'legitimasi', 'presiden', 'rocky', 'gerung', 'nilai', 'gubernur', 'dki', 'jakarta', 'anies', 'baswedan', 'milik', 'legitimasi', 'presiden', 'republik', 'indonesia']",12,pro
"['heboh', 'rumor', 'xi', 'jinping', 'kudeta', 'militer', 'china', 'tahan', 'rumah', 'tahan', 'rocky', 'gerung', 'saing', 'jenderal', 'presiden', 'china', 'xi', 'jinping', 'lapor', 'kudeta', 'tentara']",-1,kontra
"['akrab', 'luhut', 'gibran', 'rocky', 'gerung', 'kuasa', 'dekat', 'rg', 'tweet']",3,pro
"['rocky', 'gerung', 'datang', 'luhut', 'gibran', 'kuasa', 'dekat', 'id', 'tweet']",-4,kontra
"['anies', 'yakin', 'kantor', 'jakarta', 'rocky', 'gerung', 'pindah', 'medan', 'merdeka', 'selatan', 'medan', 'merdeka', 'utara']",1,pro
"['kunjung', 'rocky', 'gerung', 'gibran', 'pasti', 'cebongkampret']",3,pro
"['quote', 'pan', 'minat', 'asuh', 'anies', 'baswedan', 'mending', 'asuh', 'partai', 'amanat', 'nasional', 'pan', 'peluang', 'anies', 'baswedan', 'partai', 'amanat', 'nasional', 'pan', 'selesai']",3,pro
"['jarangjarang', 'lord', 'temu', 'tatap', 'indonesia', 'pasca', 'via']",3,pro
"['tatap', 'indonesia', 'pasca', 'via']",1,pro
"['tatap', 'indonesia', 'pasca', 'part', 'tonton', 'ditakedown', 'lengkap', 'klik', 'link']",-4,kontra
"['bebas', 'bebas', 'freedom', 'natural', 'right', 'konstitusi', 'bebas', 'tugas', 'perintah', 'lindung', 'bebas']",-15,kontra
"['gibran', 'sambang', 'rocky', 'gerung', 'bahas', 'tweet']",4,pro
"['pesan', 'rocky', 'gerung', 'calon', 'presiden']",2,pro
"['pesan', 'rocky', 'gerung', 'calon', 'presiden']",2,pro
"['ramai', 'netizen', 'suara', 'pertalite', 'boros', 'cepat', 'habis', 'harga', 'coba', 'sobat', 'akal', 'sehat', 'simak', 'video']",-1,kontra
"['quote', 'politik', 'bagi', 'habis', 'partai', 'demo', 'golput', 'tempo']",-9,kontra
"['kritik', 'jokowi', 'gibran', 'idola', 'rocky', 'gerung', 'baca', 'lengkap']",-7,kontra
"['cuit', 'gibran', 'rakabuming', 'viral', 'kunjung', 'diam', 'rocky', 'gerung', 'putra', 'jokowi', 'sebut', 'cebong', 'kampret']",-7,kontra
"['putra', 'presiden', 'joko', 'widodo', 'gibran', 'rakabuming', 'raka', 'istilah', 'cebong', 'kampret', 'unjung', 'amat', 'politik', 'rocky', 'gerung']",1,pro
"['masuk', 'angin', 'temu', 'om', 'luhut', 'pangeran', 'gibran']",0,netral
"['tweet', 'ngobrol', 'tolong', 'cariin', 'cewe', 'doi', 'grogi', 'ama', 'cewe', 'ama', 'cowo', 'kekekekkek', 'ketemu', 'lemes']",-9,kontra
"['temu', 'rocky', 'gerung', 'gibran', 'cebong', 'kampret', 'saudara', 'baca', 'lengkap']",-2,kontra
"['gibran', 'kunjung', 'rocky', 'gerung', 'rumah', 'kirakira', 'bahas']",5,pro
"['rocky', 'prediksi', 'anies', 'baswedan', 'ganggu']",-2,kontra
"['cipta', 'hoax', 'bodoh']",-5,kontra
"['tim', 'rocky', 'gerung', 'bocor', 'bahas', 'temu', 'gibran', 'sangka']",-4,kontra
"['akun', 'twitter', 'pribadi', 'tweet', 'gibran', 'tanggap', 'cuit', 'mementionnya', 'saudara', 'cebong', 'kampret', 'dll']",-2,kontra
"['cebong', 'cemas', 'kadrun', 'cemburu', 'link']",-8,kontra
"['gibran', 'temu', 'rocky', 'gerung', 'siap', 'hadiah', 'sepatu', 'netizen']",7,pro
"['rocky', 'gerung', 'bahas', 'nasib', 'anies', 'baswedan', 'pensiun', 'amat', 'politik', 'rocky', 'gerung', 'tanggap', 'anies', 'baswedan', 'jabat', 'gubernur', 'dki', 'jakarta']",2,pro
"['sinyal', 'rocky', 'gerung', 'anies', 'ganggu', 'kuasa', 'sprindik', 'baca', 'lengkap']",0,netral
"['sowan', 'rocky', 'gerung', 'gibran', 'tegas', 'cebong', 'kampret']",-5,kontra
"['heboh', 'bapak', 'kritik', 'rocky', 'gerung', 'gibran', 'kawan', 'botol', 'minum', 'gagal', 'fokus', 'tweet']",-13,kontra
"['kabar', 'gembira', 'gibran', 'rakabuming', 'raka', 'sayembara', 'komentar', 'lucu', 'hadiah', 'cengang', 'tweet']",1,pro
"['gibran', 'rakabuming', 'temu', 'rocky', 'gerung', 'bahas', 'anak', 'presiden', 'jokowi', 'walikota', 'solo', 'gibran', 'rakabuming', 'raka', 'unggah', 'foto', 'amat', 'politik', 'rocky', 'gerung']",12,pro
['lei'],0,netral
['host'],0,netral
"['desain', 'dungu']",-1,kontra
"['jelang', 'pilpres', 'rocky', 'gerung', 'duga', 'anies', 'panggil', 'kpk']",4,pro
"['temu', 'rocky', 'gerung', 'gibran', 'rakabuming', 'beliau', 'salah', 'idola', 'wali', 'kota', 'solo', 'gibran', 'rakabuming', 'unggah', 'foto', 'momen', 'temu', 'amat', 'politik']",4,pro
"['janji', 'hadiah', 'gibran', 'tantang', 'netizen', 'tebak', 'obrol', 'bahas', 'rocky', 'gerung']",0,netral
"['tweet', 'nawarin', 'om', 'operasi', 'katarak', 'yaa', 'bhuehuehue']",1,pro
[],0,netral
"['tatap', 'indonesia', 'pasca']",1,pro
"['tatap', 'indonesia', 'pasca']",1,pro
"['rocky', 'gerung', 'amat', 'politik', 'angkat', 'bicara', 'komentar', 'insiden', 'tembak', 'brigadir', 'palai', 'ferdy', 'sambo', 'simak', 'berita', 'lengkap']",-9,kontra
"['jokowi', 'periode', 'menko', 'luhut', 'singgung', 'big', 'data']",-7,kontra
"['luhut', 'binsar', 'pandjaitan', 'bincang', 'rocky', 'gerung', 'calon', 'presiden', 'jawa']",5,pro
"['contoh', 'amerika', 'luhut', 'usul', 'sistem', 'pilpres', 'pilkada', 'indonesia', 'dievalusi']",-5,kontra
"['tampar', 'rakyat']",0,netral
"['tatap', 'indonesia', 'pasca']",1,pro
"['tatap', 'indonesia', 'pasca']",1,pro
"['parpol', 'serang', 'rebut', 'elektabilitas', 'jelang', 'pilpres', 'rocky', 'gerung', 'enak', 'nontonnya']",-2,kontra
"['menko', 'marves', 'luhut', 'orang', 'jawa', 'mustahil', 'presiden']",4,pro
"['tatap', 'indonesia', 'pasca', 'kalean', 'mesti', 'nonton']",-2,kontra
"['tatap', 'indonesia', 'pasca', 'via']",1,pro
[],0,netral
[],0,netral
"['menteri', 'koordinator', 'bidang', 'maritim', 'investasi', 'luhut', 'binsar', 'pandjaitan', 'usil', 'bintang', 'tamu', 'podcast', 'rocky', 'gerung', 'lengkap']",-2,kontra
"['jaman', 'rezim', 'skrg', 'kaya', 'bapa', 'tiri', 'sinetron', 'kasih', 'makan', 'bsu', 'blt', 'dll', 'anakrakyat', 'udh', 'kenyang', 'trs', 'pecutin', 'rg']",3,pro
"['sobat', 'akal', 'sehat', 'nanti', 'video', 'part', 'tayang', 'rabu', 'wib', 'salam', 'akal', 'sehat']",7,pro
"['menteri', 'koordinator', 'bidang', 'maritim', 'investasi', 'luhut', 'binsar', 'pandjaitan', 'tamu', 'podcast', 'youtube', 'amat', 'politik', 'rocky', 'gerung', 'isu', 'bincang']",6,pro
"['bodoh', 'kurikulum', 'etika', 'rocky', 'gerung']",0,netral
"['tuju', 'rocky', 'saksi', 'lengkap', 'youtube', 'rgtv', 'channel', 'id', 'ajak', 'temu', 'link']",2,pro
